PT4-M_a	PT1-M_a	PT3-M_a	PT1-U_a	PT2-U_a	PT2-M_a	PT5-M_a	PT4-M	PT1-M	PT3-M	PT1-U	PT2-U	PT2-M	PT5-M	TCp2-M	TCw1-E	TCp1-M	TCw4-E	TCw3-E	TCw2-E	Voltage	Motor1	Motor2	Motor3	Motor4	Statestring
206	199	198	197	196	198	197	12	1	0	0	0	0	-2	81	82	82	82	82	82	15	1000	1000	1000	1000	15019
206	199	198	197	196	198	197	12	1	0	0	0	0	-2	81	82	82	82	82	82	15	1000	1000	1000	1000	15019
206	199	197	197	196	198	196	12	2	0	0	0	0	-2	81	82	82	82	82	82	15	1000	1000	1000	1000	15790
206	199	197	197	196	198	196	12	2	0	0	0	0	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	15790
206	199	197	197	196	198	196	12	2	0	0	0	0	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	15790
206	198	197	196	196	199	196	12	2	0	-1	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	16562
206	198	197	196	196	198	197	12	2	0	-1	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	16791
206	198	197	196	196	198	197	12	2	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	16791
206	198	197	196	196	198	197	12	2	0	-3	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	16791
206	200	198	197	196	200	196	12	2	0	-3	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	17563
206	200	198	197	196	200	196	12	2	0	-3	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	17563
206	200	198	197	196	200	196	12	2	0	-3	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	17563
206	197	197	197	196	198	197	12	2	0	-3	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	18329
207	196	197	197	196	198	197	12	2	0	-3	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	18565
207	196	197	197	196	198	197	12	1	0	-3	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	18565
207	196	197	197	196	198	197	12	1	0	-2	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	18565
206	197	197	197	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	19330
206	197	197	197	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	19330
206	197	197	197	196	199	196	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	19330
205	198	197	197	196	198	197	12	0	0	0	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	20102
207	199	197	197	196	198	197	12	0	0	0	0	1	-3	81	82	82	81	82	82	15	1000	1000	1000	1000	20332
207	199	197	197	196	198	197	13	0	0	0	0	0	-3	81	82	82	81	82	82	15	1000	1000	1000	1000	20332
207	199	197	197	196	198	197	13	0	0	0	0	0	-3	81	82	82	81	82	82	15	1000	1000	1000	1000	20332
206	198	197	196	196	198	197	13	1	0	-1	0	0	-3	81	82	82	81	82	82	15	1000	1000	1000	1000	21103
206	198	197	196	196	198	197	12	1	0	-1	0	0	-3	81	82	82	81	82	82	15	1000	1000	1000	1000	21103
206	198	197	196	196	198	197	12	1	0	-2	0	0	-3	81	82	82	81	82	82	15	1000	1000	1000	1000	21103
205	198	197	197	196	198	197	12	1	0	-2	0	0	-3	82	82	82	81	82	82	15	1000	1000	1000	1000	21874
205	197	197	196	196	199	196	12	1	0	-3	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	22105
205	197	197	196	196	199	196	12	1	0	-3	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	22105
205	197	197	196	196	199	196	12	1	0	-4	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	22105
206	199	197	197	197	200	197	12	1	0	-4	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	22875
206	198	197	197	196	198	196	12	1	0	-4	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	23105
206	198	197	197	196	198	196	12	1	0	-4	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	23105
206	198	197	197	196	198	196	12	1	0	-3	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	23105
206	198	197	197	196	199	197	12	1	0	-3	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	23878
